id,tcode,ttype,fred,description,gsi,gsi:description,group,edited
1,5,First difference of natural log: ln(x)-ln(x-1),RPI,Real Personal Income,M_14386177,PI,Output and Income,FALSE
2,5,First difference of natural log: ln(x)-ln(x-1),W875RX1,Real personal income ex transfer receipts,M_145256755,PI less transfers,Output and Income,FALSE
3,5,First difference of natural log: ln(x)-ln(x-1),DPCERA3M086SBEA,Real personal consumption expenditures,M_123008274,Real Consumption,"Consumption, Orders, and Inventories",FALSE
4,5,First difference of natural log: ln(x)-ln(x-1),CMRMTSPLx,Real Manu. and Trade Industries Sales,M_110156998,M&T sales,"Consumption, Orders, and Inventories",TRUE
5,5,First difference of natural log: ln(x)-ln(x-1),RETAILx,Retail and Food Services Sales,M_130439509,Retail sales,"Consumption, Orders, and Inventories",TRUE
6,5,First difference of natural log: ln(x)-ln(x-1),INDPRO,IP Index,M_116460980,IP: total,Output and Income,FALSE
7,5,First difference of natural log: ln(x)-ln(x-1),IPFPNSS,IP: Final Products and Nonindustrial Supplies,M_116460981,IP: products,Output and Income,FALSE
8,5,First difference of natural log: ln(x)-ln(x-1),IPFINAL,IP: Final Products (Market Group),M_116461268,IP: nal prod,Output and Income,FALSE
9,5,First difference of natural log: ln(x)-ln(x-1),IPCONGD,IP: Consumer Goods,M_116460982,IP: cons gds,Output and Income,FALSE
10,5,First difference of natural log: ln(x)-ln(x-1),IPDCONGD,IP: Durable Consumer Goods,M_116460983,IP: cons dble,Output and Income,FALSE
11,5,First difference of natural log: ln(x)-ln(x-1),IPNCONGD,IP: Nondurable Consumer Goods,M_116460988,IP: cons nondble,Output and Income,FALSE
12,5,First difference of natural log: ln(x)-ln(x-1),IPBUSEQ,IP: Business Equipment,M_116460995,IP: bus eqpt,Output and Income,FALSE
13,5,First difference of natural log: ln(x)-ln(x-1),IPMAT,IP: Materials,M_116461002,IP: matls,Output and Income,FALSE
14,5,First difference of natural log: ln(x)-ln(x-1),IPDMAT,IP: Durable Materials,M_116461004,IP: dble matls,Output and Income,FALSE
15,5,First difference of natural log: ln(x)-ln(x-1),IPNMAT,IP: Nondurable Materials,M_116461008,IP: nondble matls,Output and Income,FALSE
16,5,First difference of natural log: ln(x)-ln(x-1),IPMANSICS,IP: Manufacturing (SIC),M_116461013,IP: mfg,Output and Income,FALSE
17,5,First difference of natural log: ln(x)-ln(x-1),IPB51222s,IP: Residential Utilities,M_116461276,IP: res util,Output and Income,FALSE
18,5,First difference of natural log: ln(x)-ln(x-1),IPFUELS,IP: Fuels,M_116461275,IP: fuels,Output and Income,FALSE
19,1,Level (i.e. no transformation): x(t),NAPMPI,ISM Manufacturing: Production Index,M_110157212,NAPM prodn,Output and Income,FALSE
20,2,First difference: x(t)-x(t-1),CUMFNS,Capacity Utilization: Manufacturing,M_116461602,Cap util,Output and Income,FALSE
21,2,First difference: x(t)-x(t-1),HWI,Help-Wanted Index for United States,,Help wanted indx,Labor Market,TRUE
22,2,First difference: x(t)-x(t-1),HWIURATIO,Ratio of Help Wanted/No. Unemployed,M_110156531,Help wanted/unemp,Labor Market,TRUE
23,5,First difference of natural log: ln(x)-ln(x-1),CLF16OV,Civilian Labor Force,M_110156467,Emp CPS total,Labor Market,FALSE
24,5,First difference of natural log: ln(x)-ln(x-1),CE16OV,Civilian Employment,M_110156498,Emp CPS nonag,Labor Market,FALSE
25,2,First difference: x(t)-x(t-1),UNRATE,Civilian Unemployment Rate,M_110156541,U: all,Labor Market,FALSE
26,2,First difference: x(t)-x(t-1),UEMPMEAN,Average Duration of Unemployment (Weeks),M_110156528,U: mean duration,Labor Market,FALSE
27,5,First difference of natural log: ln(x)-ln(x-1),UEMPLT5,Civilians Unemployed - Less Than 5 Weeks,M_110156527,U < 5 wks,Labor Market,FALSE
28,5,First difference of natural log: ln(x)-ln(x-1),UEMP5TO14,Civilians Unemployed for 5-14 Weeks,M_110156523,U 5-14 wks,Labor Market,FALSE
29,5,First difference of natural log: ln(x)-ln(x-1),UEMP15OV,Civilians Unemployed - 15 Weeks & Over,M_110156524,U 15+ wks,Labor Market,FALSE
